number_of_rooms,metro,address,area,parking,renovation,windows,ceiling_height,elevator,price_monthly,deposit,utility,type_house,current_floor,total_floors,combined_bathrooms,separate_bathrooms
4,9.0,"Москва, Борисоглебский переулок, 15С2",180.0,0,2,1,2.9787383083257475,0,450000.0,450000.0,nan,2,4,4,0.0,0.0
4,5.0,"Москва, улица Новый Арбат, 27",165.0,1,2,1,3.35,"Пасс (1), Груз (1)",470000.0,470000.0,nan,1,9,16,0.0,0.0
4,6.0,"Москва, Малый Каковинский переулок, 6С1",190.0,0,2,1,4.05,Пасс (1),590000.0,590000.0,nan,2,4,6,0.0,0.0
4,5.0,"Москва, улица Новый Арбат, 27",168.0,1,2,1,3.35,"Пасс (1), Груз (1)",600000.0,600000.0,nan,1,4,16,0.0,0.0
5,8.0,"Москва, Филипповский переулок, 8С1",250.0,0,2,1,3.2651052948076593,"Пасс (1), Груз (1)",850000.0,850000.0,nan,1,8,9,0.0,0.0
3,7.0,"Москва, улица Арбат, 15/43",85.0,0,1,1,3.1686262118074304,Пасс (1),150000.0,150000.0,nan,4,7,7,0.0,0.0
3,5.0,"Москва, Малый Новопесковский переулок, 8",105.0,0,1,0,2.601396079949833,"Пасс 1, Груз 1",195000.0,195000.0,включены,1,6,17,0.0,0.0
3,5.0,"Москва, Малый Новопесковский переулок, 8",134.0,0,1,1,3.938690835319746,Пасс (1),300000.0,300000.0,nan,0,8,16,0.0,0.0
2,5.0,"Москва, улица Арбат, 45/24",60.0,1,1,0,3.2,Пасс (1),90000.0,90000.0,nan,2,5,6,0.0,0.0
3,7.0,"Москва, улица Арбат, 15/43",85.0,0,0,1,3.3902587500645653,Пасс (1),150000.0,150000.0,nan,2,7,7,0.0,0.0
5,4.0,"Москва, улица Арбат, 47/23",150.0,0,0,1,3.194647038346667,Пасс (1),250000.0,250000.0,nan,2,4,6,0.0,0.0
4,5.0,"Москва, 1-й Смоленский переулок, 17",142.0,0,1,0,3.2,Пасс (1),350000.0,350000.0,nan,2,12,13,0.0,0.0
5,6.0,"Москва, Филипповский переулок, 8С1",222.0,0,1,2,2.845714202797828,Пасс (1),450000.0,450000.0,nan,2,7,9,0.0,0.0
2,7.0,"Москва, Большой Николопесковский переулок, 3",60.0,0,2,2,3.6,Пасс (1),120000.0,120000.0,включены,4,3,6,0.0,0.0
3,8.0,"Москва, улица Арбат, 31",103.0,0,2,0,3.8,0,120000.0,120000.0,включены,4,2,3,0.0,0.0
5,5.0,"Москва, Гоголевский бульвар, 23",170.0,1,1,1,3.2,Пасс (1),175000.0,175000.0,включены,4,5,5,0.0,0.0
5,8.0,"Москва, Филипповский переулок, 9",200.0,0,1,1,3.0841851236447106,0,190000.0,190000.0,включены,4,3,3,0.0,0.0
3,5.0,"Москва, Малый Новопесковский переулок, 8",105.0,0,2,0,3.0,"Пасс (2), Груз (1)",240000.0,240000.0,включены,0,6,17,0.0,0.0
1,10.0,"Москва, улица Новый Арбат, 32",60.0,0,1,1,3.0,"Пасс (1), Груз (1)",250000.0,250000.0,включены,1,2,12,0.0,0.0
5,6.0,"Москва, улица Арбат, 47/23",155.0,0,0,2,2.6786869710667593,Пасс (1),250000.0,250000.0,nan,2,4,6,0.0,0.0
3,5.0,"Москва, Малый Новопесковский переулок, 8",134.0,0,1,0,3.0,"Пасс (1), Груз (1)",300000.0,300000.0,включены,1,8,16,0.0,0.0
5,12.276339583135053,"Москва, 1-й Смоленский переулок, 17",214.6,0,0,0,3.216409362836126,Пасс (1),500000.0,500000.0,nan,2,3,13,0.0,0.0
5,5.0,"Москва, 1-й Смоленский переулок, 17",204.0,1,2,1,3.2,"Пасс (1), Груз (1)",500000.0,500000.0,включены,0,2,14,0.0,0.0
5,9.0,"Москва, Трубниковский переулок, 13С1",180.0,0,1,1,3.484111265010682,Пасс (1),500000.0,500000.0,nan,2,7,8,0.0,0.0
6,6.0,"Москва, Большой Афанасьевский переулок, 32/9",260.0,0,0,2,3.0804912570906637,"Пасс (1), Груз (1)",590000.0,590000.0,включены,4,6,8,0.0,0.0
4,6.0,"Москва, Композиторская улица, 17",237.1,0,0,0,3.1427776684473816,Пасс (2),650000.0,650000.0,включены,0,7,11,0.0,0.0
4,4.0,"Москва, переулок Плотников, 21С1",215.0,0,1,1,2.8760759909451554,0,700000.0,700000.0,nan,4,5,5,0.0,0.0
3,12.276339583135053,"Москва, улица Арбат, 31",100.0,0,2,1,3.312893379121377,0,115000.0,115000.0,включены,2,2,3,0.0,0.0
2,8.0,"Москва, Большой Николопесковский переулок, 3",60.0,0,0,2,2.7357097130152903,Пасс (1),120000.0,120000.0,nan,2,3,6,0.0,0.0
5,5.0,"Москва, Гоголевский бульвар, 23",170.0,1,1,0,3.2,Пасс (1),175000.0,175000.0,включены,5,5,5,0.0,0.0
3,6.0,"Москва, улица Арбат, 15/43",98.0,0,2,1,3.0,Пасс (1),185000.0,370000.0,nan,4,6,6,0.0,0.0
2,5.0,"Москва, Филипповский переулок, 8С1",175.0,0,2,1,3.1,"Пасс (1), Груз (1)",200000.0,200000.0,nan,1,3,9,0.0,0.0
4,5.0,"Москва, улица Арбат, 32",180.0,0,1,0,2.7190072514533963,Пасс (1),350000.0,350000.0,включены,4,3,4,0.0,0.0
4,6.0,"Москва, 1-й Смоленский переулок, 17",132.0,0,0,1,2.6041715391051974,"Пасс (2), Груз (2)",350000.0,350000.0,включены,1,12,13,0.0,0.0
6,4.0,"Москва, переулок Романов, 5",228.0,0,1,1,3.416644752660721,Пасс (1),400000.0,400000.0,nan,2,3,6,0.0,0.0
3,2.0,"Москва, 1-й Смоленский переулок, 21",92.3,3,2,1,4.2,"Пасс (1), Груз (1)",470000.0,1500000.0,nan,1,3,7,0.0,0.0
5,5.0,"Москва, 1-й Смоленский переулок, 17",204.0,0,1,0,3.2,Пасс (1),500000.0,500000.0,nan,2,2,13,0.0,0.0
4,4.0,"Москва, улица Новый Арбат, 15",160.0,1,1,0,3.2,Пасс (1),650000.0,650000.0,nan,2,26,26,0.0,0.0
4,4.0,"Москва, улица Новый Арбат, 15",140.0,1,1,0,3.2,Пасс (1),650000.0,650000.0,nan,2,25,26,0.0,0.0
4,4.0,"Москва, улица Новый Арбат, 15",140.0,1,1,0,3.2,Пасс (1),700000.0,700000.0,nan,2,25,26,0.0,0.0
1,3.0,"Москва, Никитский бульвар, 5",45.0,1,0,1,3.895944262356668,Пасс (1),120000.0,120000.0,включены,4,6,7,0.0,0.0
3,3.0,"Москва, Карманицкий переулок, 3",65.0,1,1,0,3.2,Пасс (1),130000.0,130000.0,nan,2,7,7,0.0,0.0
3,5.0,"Москва, Нижний Кисловский переулок, 3",87.0,0,1,0,3.364346412662208,Пасс (1),140000.0,140000.0,включены,4,4,7,0.0,0.0
3,6.0,"Москва, Смоленская набережная, 5/13",90.0,0,0,0,3.0,Пасс (2),145000.0,145000.0,включены,4,7,12,0.0,0.0
4,7.0,"Москва, улица Арбат, 32",180.0,0,1,1,3.5512588724217755,Пасс (1),350000.0,350000.0,nan,4,3,4,0.0,0.0
4,10.0,"Москва, улица Арбат, 32",180.0,0,0,1,3.3302969333142616,0,400000.0,400000.0,nan,2,2,3,0.0,0.0
4,5.0,"Москва, 1-й Смоленский переулок, 21",170.0,0,0,1,3.1279018864370713,Пасс (1),650000.0,650000.0,nan,2,4,7,0.0,0.0
3,3.0,"Москва, Проточный переулок, 8/2С1",75.0,2,2,1,3.5967394930040357,"Пасс (1), Груз (1)",99000.0,99000.0,включены,4,9,10,0.0,0.0
3,11.0,"Москва, Трубниковский переулок, 26С1",87.0,0,0,2,3.8543892614682616,Пасс (1),100000.0,100000.0,включены,4,3,7,0.0,0.0
3,8.0,"Москва, Большой Афанасьевский переулок, 35-37С4",105.0,2,2,0,3.0,Пасс (1),180000.0,180000.0,включены,4,9,9,0.0,0.0
3,5.0,"Москва, Гоголевский бульвар, 29",99.0,0,2,1,3.2,"Пасс (1), Груз (1)",200000.0,200000.0,включены,4,3,9,0.0,0.0
1,7.0,"Москва, улица Новый Арбат, 32",60.0,0,2,1,3.5,Пасс (2),250000.0,250000.0,включены,0,2,11,0.0,0.0
4,6.0,"Москва, переулок Сивцев Вражек, 44/28",140.0,0,1,1,3.3123483737483594,Пасс (1),280000.0,280000.0,nan,2,4,6,0.0,0.0
3,12.276339583135053,"Москва, улица Арбат, 9С2",120.0,0,0,0,2.676754177541141,Пасс (1),300000.0,300000.0,nan,2,3,5,0.0,0.0
3,6.0,"Москва, улица Новый Арбат, 32",133.0,0,2,1,2.8,"Пасс (2), Груз (2)",400000.0,400000.0,включены,0,5,13,0.0,0.0
4,4.0,"Москва, улица Арбат, 32",180.0,0,2,1,2.8665555508099247,Пасс (1),400000.0,400000.0,включены,1,2,4,0.0,0.0
4,5.0,"Москва, Филипповский переулок, 8С1",219.0,0,2,1,3.141712527672013,Пасс (1),450000.0,450000.0,включены,0,5,9,0.0,0.0
3,6.0,"Москва, переулок Сивцев Вражек, 14",130.0,0,2,1,2.7906106765210823,Пасс (1),450000.0,450000.0,включены,4,3,8,0.0,0.0
5,8.0,"Москва, Трубниковский переулок, 13С1",180.0,0,0,0,3.0,Пасс (1),500000.0,500000.0,включены,1,7,7,0.0,0.0
4,8.0,"Москва, улица Арбат, 27/47",190.0,1,2,0,3.2,"Пасс (1), Груз (1)",520000.0,520000.0,включены,4,7,7,0.0,0.0
3,9.0,"Москва, улица Новый Арбат, 27",174.0,1,0,0,2.719410659859299,Пасс (4),550000.0,550000.0,включены,0,10,16,0.0,0.0
6,12.0,"Москва, Большой Николопесковский переулок, 13",336.0,0,0,1,3.3838992658454097,0,590000.0,590000.0,nan,2,4,5,0.0,0.0
4,2.0,"Москва, 1-й Смоленский переулок, 21",170.0,0,0,1,3.681225691815257,"Пасс (1), Груз (1)",650000.0,650000.0,включены,0,4,7,0.0,0.0
6,5.0,"Москва, переулок Романов, 5",338.0,1,2,0,3.2,Пасс (2),650000.0,650000.0,включены,4,5,6,0.0,0.0
2,8.0,"Москва, улица Новый Арбат, 26",52.0,1,2,2,3.2690820442466735,"Пасс 2, Груз 2",80000.0,80000.0,включены,2,11,24,0.0,0.0
3,4.0,"Москва, 1-й Смоленский переулок, 9С1",91.0,0,3,1,3.611316894988141,Пасс (1),95000.0,95000.0,nan,2,9,10,0.0,0.0
2,9.0,"Москва, Большой Девятинский переулок, 5",56.0,1,2,0,3.1711816438613596,"Пасс (1), Груз (1)",105000.0,105000.0,включены,2,7,16,0.0,0.0
3,8.0,"Москва, Новинский бульвар, 18к2",80.0,1,2,1,3.2,Пасс (1),120000.0,120000.0,включены,5,5,6,0.0,0.0
2,8.0,"Москва, улица Большая Молчановка, 21",94.0,0,2,0,3.2,Пасс (1),135000.0,135000.0,включены,4,5,5,0.0,0.0
2,7.0,"Москва, улица Новый Арбат, 15",40.0,1,2,2,3.0,"Пасс (3), Груз (3)",135000.0,135000.0,включены,0,21,26,0.0,0.0
3,12.276339583135053,"Москва, Новинский бульвар, 10С1",94.0,1,1,1,5.5,0,145000.0,145000.0,включены,4,4,4,0.0,0.0
3,6.0,"Москва, Смоленская набережная, 5/13",90.0,1,2,2,2.8374810159121777,"Пасс 1, Груз 1",145000.0,40000.0,включены,4,4,12,0.0,0.0
2,7.0,"Москва, Староконюшенный переулок, 33",120.0,1,2,2,3.0,0,165000.0,165000.0,включены,5,4,4,0.0,0.0
5,7.0,"Москва, Гоголевский бульвар, 23",170.0,0,1,1,3.9892842603894536,Пасс (1),175000.0,175000.0,nan,2,5,5,0.0,0.0
3,5.0,"Москва, улица Большая Молчановка, 23С1",140.0,2,2,0,3.2,Пасс (1),180000.0,180000.0,включены,5,4,6,0.0,0.0
1,7.0,"Москва, улица Новый Арбат, 32",41.0,0,0,1,3.041929108683466,"Пасс 1, Груз 1",180000.0,180000.0,nan,2,10,13,0.0,0.0
3,7.0,"Москва, улица Малая Молчановка, 4",120.0,1,2,2,3.0,Пасс (1),190000.0,190000.0,включены,5,4,5,0.0,0.0
3,10.0,"Москва, Гоголевский бульвар, 29",95.0,0,1,1,3.8716293030176496,Пасс (1),200000.0,200000.0,nan,0,3,9,0.0,0.0
4,4.0,"Москва, переулок Романов, 3С7",130.0,0,2,1,3.7045719981739182,Пасс (1),220000.0,40000.0,включены,4,4,5,0.0,0.0
3,7.0,"Москва, улица Новый Арбат, 15",70.0,1,0,1,3.8504797112669493,"Пасс (2), Груз (2)",230000.0,230000.0,включены,2,24,26,0.0,0.0
1,7.0,"Москва, улица Новый Арбат, 32",63.0,0,0,1,3.6198146708905643,"Пасс 1, Груз 1",270000.0,270000.0,nan,2,2,13,0.0,0.0
4,7.0,"Москва, Гоголевский бульвар, 29",189.0,0,1,1,3.753894370823372,Пасс (1),330000.0,330000.0,nan,4,2,9,0.0,0.0
2,4.0,"Москва, переулок Плотников, 21С1",120.0,0,2,1,3.8,Пасс (1),330000.0,330000.0,включены,4,2,6,0.0,0.0
4,12.276339583135053,"Москва, улица Новый Арбат, 29",212.0,1,0,0,2.760196508164199,Пасс (1),350000.0,350000.0,nan,2,6,17,0.0,0.0
4,12.0,"Москва, Новинский бульвар, 18С1",111.0,0,1,1,3.2561801672919937,"Пасс 1, Груз 1",350000.0,350000.0,включены,2,9,10,0.0,0.0
2,7.0,"Москва, улица Новый Арбат, 32",92.0,0,0,1,3.5720310984996275,"Пасс 1, Груз 1",350000.0,350000.0,nan,2,3,13,0.0,0.0
4,4.0,"Москва, 1-й Смоленский переулок, 17",132.0,0,3,2,3.6746616483226946,Пасс (1),350000.0,350000.0,nan,2,12,13,0.0,0.0
4,5.0,"Москва, переулок Плотников, 21С1",202.0,0,0,1,3.4906319792739406,Пасс (1),360000.0,360000.0,nan,2,3,6,0.0,0.0
2,7.0,"Москва, улица Новый Арбат, 32",123.0,0,0,1,3.71321555050584,"Пасс 1, Груз 1",400000.0,400000.0,nan,2,7,13,0.0,0.0
3,10.0,"Москва, переулок Сивцев Вражек, 14",130.0,0,0,1,3.3887551532683546,Пасс (1),450000.0,450000.0,nan,2,3,7,0.0,0.0
3,15.0,"Москва, Композиторская улица, 17",180.0,0,0,1,3.9148539634319643,Пасс (1),450000.0,450000.0,nan,2,6,9,0.0,0.0
5,4.0,"Москва, Филипповский переулок, 8С1",220.0,0,1,0,3.793357009902346,Пасс (4),450000.0,450000.0,включены,0,4,9,0.0,0.0
4,6.0,"Москва, Композиторская улица, 17",180.0,0,1,1,3.480012356471823,Пасс (1),450000.0,450000.0,nan,2,6,11,0.0,0.0
4,15.0,"Москва, Поварская улица, 28С2",206.0,0,0,0,3.2,"Пасс (1), Груз (1)",470000.0,470000.0,включены,1,3,9,0.0,0.0
