number_of_rooms,metro,address,area,parking,renovation,windows,ceiling_height,elevator,price_monthly,deposit,utility,type_house,current_floor,total_floors,combined_bathrooms,separate_bathrooms
5,8.0,"Москва, Подсосенский переулок, 3",230.0,0,2,1,2.9652744509741864,"Пасс 1, Груз 1",600000.0,600000.0,включены,4,2,10,0.0,0.0
1,10.0,"Москва, Доброслободская улица, 4",40.0,1,1,1,3.814271506267548,"Пасс (1), Груз (1)",50000.0,50000.0,включены,6,7,12,0.0,0.0
2,5.0,"Москва, Бауманская улица, 58А",50.0,1,1,1,2.64,Пасс (2),60000.0,60000.0,включены,2,9,12,0.0,0.0
2,4.0,"Москва, переулок Огородная Слобода, 10",40.0,1,1,1,2.869305867202572,"Пасс (1), Груз (1)",77000.0,77000.0,включены,6,3,8,0.0,0.0
3,5.0,"Москва, Нижняя Красносельская улица, 35С50",98.0,0,0,0,2.9591611936554076,Пасс (1),200000.0,200000.0,включены,0,3,10,0.0,0.0
5,12.276339583135053,"Москва, Подсосенский переулок, 3к1",230.0,0,0,0,3.6939283097470037,Пасс (1),600000.0,600000.0,nan,2,1,9,0.0,0.0
3,12.0,"Москва, Рубцовская набережная, 2К3",110.0,1,2,1,2.7,"Пасс (1), Груз (1)",110000.0,110000.0,включены,2,8,16,0.0,0.0
3,5.0,"Москва, Бакунинская улица, 5",92.0,0,1,1,2.8,Пасс (1),220000.0,220000.0,включены,0,4,11,0.0,0.0
5,8.0,"Москва, улица Жуковского, 5",180.0,0,1,1,3.7051261470156938,Пасс (1),300000.0,300000.0,nan,2,3,5,0.0,0.0
3,3.0,"Москва, Мясницкая улица, 24/7С2",182.0,1,1,0,3.2,Пасс (1),380000.0,380000.0,nan,2,2,5,0.0,0.0
5,10.0,"Москва, Подсосенский переулок, 3к1",286.0,0,1,0,3.2,Пасс (1),600000.0,600000.0,nan,2,2,9,0.0,0.0
2,7.0,"Москва, Спартаковский переулок, 24С1",42.0,0,0,2,3.605177794826874,Пасс (1),60000.0,60000.0,включены,4,1,9,0.0,0.0
3,14.0,"Москва, набережная Академика Туполева, 15",93.0,1,0,1,3.704887960300272,"Пасс (2), Груз (1)",129990.0,129990.0,включены,0,7,23,0.0,0.0
4,7.0,"Москва, улица Маросейка, 13С2",135.0,0,1,1,3.816470161676503,Пасс (1),150000.0,150000.0,nan,2,4,6,0.0,0.0
3,2.0,"Москва, Бакунинская улица, 5",83.0,0,2,1,2.7,"Пасс 1, Груз 1",160000.0,160000.0,включены,0,6,12,0.0,0.0
4,1.0,"Москва, Бакунинская улица, 5",95.0,0,0,1,3.0,"Пасс (1), Груз (1)",180000.0,180000.0,nan,2,4,12,0.0,0.0
3,21.0,"Москва, набережная Академика Туполева, 15",90.0,1,0,1,2.717138582104183,Пасс (1),180000.0,180000.0,nan,2,14,18,0.0,0.0
5,5.0,"Москва, Хохловский переулок, 3С1",137.0,1,2,1,3.3,0,190000.0,380000.0,включены,5,2,4,0.0,0.0
4,8.0,"Москва, улица Машкова, 16",127.0,1,2,0,4.0,Пасс (1),195000.0,195000.0,включены,4,5,5,0.0,0.0
3,6.0,"Москва, улица Солянка, 1/2С2",120.0,2,0,1,3.2,Пасс (1),200000.0,200000.0,включены,5,2,6,0.0,0.0
4,8.0,"Москва, улица Покровка, 11",140.0,1,2,0,3.7,Пасс (1),200000.0,200000.0,включены,4,5,6,0.0,0.0
5,7.0,"Москва, Большой Казенный переулок, 5",200.0,0,1,1,3.9543630820167635,Пасс (1),210000.0,210000.0,nan,2,5,6,0.0,0.0
1,3.0,"Москва, улица Маросейка, 11",64.0,0,0,1,3.2113015781343366,0,270000.0,270000.0,nan,2,2,3,0.0,0.0
4,8.0,"Москва, Малый Козловский переулок, 8",130.0,0,0,1,2.9884406279037705,Пасс (1),270000.0,270000.0,nan,2,3,4,0.0,0.0
4,6.0,"Москва, Малый Козловский переулок, 8",150.0,1,1,1,3.9089750852340126,0,300000.0,300000.0,nan,4,4,4,0.0,0.0
4,13.0,"Москва, Чистопрудный бульвар, 23С1",130.0,0,0,1,2.987243801726082,Пасс (1),350000.0,350000.0,nan,2,7,7,0.0,0.0
5,3.0,"Москва, улица Солянка, 1/2С1",220.0,1,1,0,2.7572214859365696,Пасс (1),390000.0,390000.0,nan,4,4,6,0.0,0.0
3,9.0,"Москва, Казарменный переулок, 3",150.0,0,2,1,2.8,"Пасс (8), Груз (8)",400000.0,400000.0,включены,4,3,11,0.0,0.0
5,3.0,"Москва, Мясницкая улица, 24",210.0,1,1,1,3.5,Пасс (2),400000.0,400000.0,включены,2,3,6,0.0,0.0
5,5.0,"Москва, Кривоколенный переулок, 7",200.0,1,1,1,3.6,"Пасс (1), Груз (1)",400000.0,400000.0,включены,4,3,5,0.0,0.0
6,3.0,"Москва, Мясницкая улица, 24/7С1",283.0,0,0,1,2.8559451495260118,0,450000.0,450000.0,nan,2,5,5,0.0,0.0
4,13.0,"Москва, Казарменный переулок, 3",162.0,0,1,1,2.9821960584053233,Пасс (1),450000.0,450000.0,nan,1,7,9,0.0,0.0
6,16.0,"Москва, Казарменный переулок, 3",400.0,0,1,1,3.5049851935611525,Пасс (1),700000.0,700000.0,включены,4,8,8,0.0,0.0
4,4.0,"Москва, Мясницкая улица, 24/7С1",332.0,1,1,2,3.9803444023753736,Пасс (1),1000000.0,1000000.0,nan,4,7,7,0.0,0.0
1,15.0,"Москва, Елизаветинский переулок, 6С1",25.0,1,1,1,3.030487213558729,0,35000.0,35000.0,включены,4,1,5,0.0,0.0
1,5.0,"Москва, Бакунинская улица, 23-41",38.2,1,0,1,3.0,"Пасс 1, Груз 1",60000.0,65000.0,включены,4,10,15,0.0,0.0
2,7.0,"Москва, Малая Почтовая улица, 10",65.0,0,2,1,2.92486338005219,Пасс (1),67000.0,67000.0,включены,4,8,8,0.0,0.0
2,12.0,"Москва, улица Госпитальный Вал, 5С4",52.0,1,2,1,2.7,"Пасс (2), Груз (1)",67000.0,67000.0,включены,2,4,17,0.0,0.0
1,11.0,"Москва, Доброслободская улица, 4",33.0,0,0,1,2.743202801082662,Пасс (1),71000.0,71000.0,включены,6,12,12,0.0,0.0
2,6.0,"Москва, переулок Лялин, 23-29С1",63.0,0,2,1,3.2727934830591163,Пасс (2),83000.0,85000.0,включены,4,1,7,0.0,0.0
2,4.0,"Москва, Большой Спасоглинищевский переулок, 8",65.0,0,2,2,2.666799712104595,Пасс (1),85000.0,85000.0,включены,6,2,5,0.0,0.0
2,6.0,"Москва, переулок Лялин, 24-26С2",62.0,2,1,1,2.67767995720688,Пасс (1),90000.0,90000.0,nan,4,3,7,0.0,0.0
1,6.0,"Москва, Хохловский переулок, 10С7",34.0,0,0,1,3.881359404525023,Пасс (1),90000.0,90000.0,включены,4,2,9,0.0,0.0
2,3.0,"Москва, улица Маросейка, 10/1С1",39.9,0,0,1,3.875486612768334,Пасс (1),100000.0,100000.0,включены,2,5,5,0.0,0.0
1,9.0,"Москва, переулок Лялин, 8С2",52.0,0,0,1,3.9112945865017776,Пасс (1),105000.0,105000.0,nan,2,4,6,0.0,0.0
3,10.0,"Москва, Рубцовская набережная, 2К3",110.0,1,1,0,3.2,Пасс (1),110000.0,110000.0,nan,2,8,12,0.0,0.0
4,7.0,"Москва, улица Казакова, 17/1С1",100.0,2,2,0,3.0,Пасс (1),110000.0,110000.0,включены,4,3,4,0.0,0.0
3,13.0,"Москва, улица Казакова, 17/1С1",100.0,0,1,1,3.3040547867848025,Пасс (1),110000.0,110000.0,nan,2,3,5,0.0,0.0
3,8.0,"Москва, Новая Басманная улица, 16С3",70.0,1,1,2,3.2,Пасс (1),120000.0,120000.0,nan,2,6,8,0.0,0.0
2,9.0,"Москва, улица Покровка, 37",56.0,1,1,2,3.2,Пасс (1),120000.0,120000.0,nan,2,7,10,0.0,0.0
3,2.0,"Москва, Лубянский проезд, 17",101.0,2,2,0,3.2,Пасс (1),130000.0,130000.0,включены,3,3,8,0.0,0.0
4,4.0,"Москва, улица Маросейка, 13С2",135.0,1,1,0,3.2,Пасс (1),150000.0,150000.0,nan,2,4,6,0.0,0.0
3,9.0,"Москва, улица Покровка, 7/9-11К1",60.0,0,0,0,3.6662791381203013,Пасс (1),150000.0,150000.0,включены,4,4,8,0.0,0.0
2,8.0,"Москва, улица Макаренко, 8",74.0,0,0,1,3.6213618918055346,0,150000.0,150000.0,включены,4,3,5,0.0,0.0
4,2.0,"Москва, улица Маросейка, 9",120.0,1,1,0,3.2,Пасс (1),160000.0,160000.0,nan,2,3,4,0.0,0.0
3,8.0,"Москва, Потаповский переулок, 14",100.0,0,1,0,3.2,Пасс (1),170000.0,170000.0,nan,2,3,5,0.0,0.0
3,2.0,"Москва, Бакунинская улица, 5",86.0,0,0,0,2.7,"Пасс (1), Груз (1)",180000.0,40000.0,включены,0,4,12,0.0,0.0
4,8.0,"Москва, улица Покровка, 19",125.0,0,1,0,3.2,Пасс (1),190000.0,190000.0,nan,2,4,4,0.0,0.0
6,5.0,"Москва, Хохловский переулок, 3С1",140.0,2,1,1,3.1,Пасс (1),190000.0,190000.0,включены,5,2,4,0.0,0.0
4,6.0,"Москва, улица Машкова, 16",132.0,1,2,0,3.2,Пасс (1),195000.0,195000.0,nan,2,5,6,0.0,0.0
4,9.0,"Москва, улица Покровка, 11",140.0,2,0,1,3.5,Пасс (1),200000.0,200000.0,включены,4,5,6,0.0,0.0
3,5.0,"Москва, улица Солянка, 1/2С2",115.0,2,1,0,4.0,Пасс (1),200000.0,200000.0,включены,5,3,6,0.0,0.0
4,8.0,"Москва, улица Покровка, 11",140.0,1,1,0,3.2,Пасс (1),200000.0,200000.0,nan,2,5,8,0.0,0.0
4,6.0,"Москва, улица Чаплыгина, 1/12С1",90.0,0,0,1,3.9303590887583733,Пасс (1),200000.0,200000.0,включены,2,5,5,0.0,0.0
5,5.0,"Москва, Большой Казенный переулок, 5",180.0,0,1,0,3.2,Пасс (1),210000.0,210000.0,nan,2,5,6,0.0,0.0
4,11.0,"Москва, улица Покровка, 42С6",165.0,0,0,0,3.4129179683476463,Пасс (1),230000.0,240000.0,включены,2,5,5,0.0,0.0
4,10.0,"Москва, улица Покровка, 42С6",153.0,2,1,0,3.2,"Пасс (1), Груз (1)",230000.0,230000.0,включены,4,5,5,0.0,0.0
4,7.0,"Москва, Фурманный переулок, 24",200.0,2,1,0,3.2,Пасс (1),230000.0,230000.0,включены,3,5,6,0.0,0.0
4,8.0,"Москва, Фурманный переулок, 24",200.0,1,1,0,3.2,Пасс (1),230000.0,230000.0,nan,2,5,6,0.0,0.0
4,12.276339583135053,"Москва, улица Покровка, 42С6",165.0,0,0,1,3.5,0,240000.0,240000.0,включены,2,5,5,0.0,0.0
4,6.0,"Москва, Малый Козловский переулок, 8",121.0,1,1,0,3.2,Пасс (1),250000.0,250000.0,nan,2,3,4,0.0,0.0
5,8.0,"Москва, улица Покровка, 19",180.0,0,1,0,3.2,Пасс (1),250000.0,250000.0,nan,2,3,4,0.0,0.0
4,11.0,"Москва, улица Покровка, 19",178.0,0,2,1,3.5,0,250000.0,40000.0,nan,2,3,4,0.0,0.0
5,5.0,"Москва, улица Жуковского, 5",180.0,0,1,0,3.2,Пасс (1),250000.0,250000.0,nan,2,3,5,0.0,0.0
4,5.0,"Москва, улица Жуковского, 9",190.0,2,0,1,3.2,Пасс (1),270000.0,270000.0,включены,5,5,6,0.0,0.0
4,6.0,"Москва, Малый Козловский переулок, 8",150.0,1,1,0,3.2,Пасс (1),300000.0,300000.0,nan,2,3,4,0.0,0.0
4,5.0,"Москва, переулок Гусятников, 13/3с1",180.0,1,1,0,3.2,Пасс (1),300000.0,300000.0,nan,2,3,5,0.0,0.0
3,7.0,"Москва, Малый Козловский переулок, 8",150.0,0,0,0,2.7444291734921853,0,340000.0,340000.0,включены,2,3,4,0.0,0.0
2,2.0,"Москва, улица Маросейка, 11",120.0,0,0,1,3.698685706206571,"Пасс (1), Груз (1)",350000.0,350000.0,включены,2,3,3,0.0,0.0
6,8.0,"Москва, улица Покровка, 14/2С1",136.0,1,1,0,3.2,Пасс (1),350000.0,350000.0,nan,2,3,3,0.0,0.0
3,3.0,"Москва, Мясницкая улица, 24/7С2",183.0,1,1,2,3.2,Пасс (1),380000.0,380000.0,nan,2,4,5,0.0,0.0
3,5.0,"Москва, Мясницкая улица, 24/7С2",183.0,2,0,0,4.0,Пасс (1),380000.0,380000.0,включены,5,4,5,0.0,0.0
3,3.0,"Москва, Мясницкая улица, 24/7С2",187.0,1,1,2,3.2,Пасс (1),380000.0,380000.0,nan,2,2,5,0.0,0.0
3,5.0,"Москва, Мясницкая улица, 24/7С2",183.0,2,1,0,4.0,Пасс (1),380000.0,380000.0,включены,5,2,5,0.0,0.0
4,4.0,"Москва, переулок Гусятников, 13/3",180.0,0,0,0,3.245053255668915,Пасс (1),400000.0,400000.0,включены,4,2,5,0.0,0.0
3,2.0,"Москва, Мясницкая улица, 24/7С2",180.0,0,1,0,3.8,Пасс (1),400000.0,400000.0,включены,5,3,5,0.0,0.0
3,6.0,"Москва, Казарменный переулок, 3",154.0,1,0,0,3.0,Пасс (1),400000.0,400000.0,nan,2,4,11,0.0,0.0
5,6.0,"Москва, переулок Огородная Слобода, 14",200.0,1,0,0,3.5,Пасс (1),450000.0,450000.0,включены,4,3,6,0.0,0.0
6,4.0,"Москва, Мясницкая улица, 24/7С1",283.0,0,0,0,2.731555161582534,Пасс (1),450000.0,450000.0,включены,4,4,5,0.0,0.0
5,5.0,"Москва, Чистопрудный бульвар, 15С1",201.0,1,1,0,3.2,Пасс (1),450000.0,450000.0,nan,2,2,4,0.0,0.0
3,9.0,"Москва, Казарменный переулок, 3",150.0,0,0,1,3.4445197233789164,Пасс (2),450000.0,450000.0,включены,0,3,11,0.0,0.0
5,10.0,"Москва, Подсосенский переулок, 3к1",250.0,0,1,0,3.2,Пасс (1),570000.0,570000.0,nan,2,3,9,0.0,0.0
5,9.0,"Москва, Подсосенский переулок, 3к2",230.0,0,1,1,2.8598074507384887,Пасс (1),600000.0,600000.0,nan,1,1,10,0.0,0.0
6,12.0,"Москва, Покровский бульвар, 14/6",350.0,0,1,0,3.2,Пасс (1),650000.0,650000.0,nan,2,5,5,0.0,0.0
6,6.0,"Москва, Казарменный переулок, 3",400.0,0,1,1,2.7984749048761626,Пасс (1),700000.0,700000.0,nan,0,8,8,0.0,0.0
6,6.0,"Москва, Казарменный переулок, 3",400.0,1,2,0,3.2,Пасс (1),700000.0,700000.0,nan,2,9,11,0.0,0.0
3,3.0,"Москва, улица Земляной Вал, 23С1",110.0,0,1,1,2.6706167749739826,Пасс (1),150000.0,150000.0,включены,4,5,9,0.0,0.0
1,5.0,"Москва, Старокирочный переулок, 6",21.0,1,0,1,3.0,0,55000.0,55000.0,включены,4,4,4,0.0,0.0
5,9.0,"Москва, Казарменный переулок, 3",228.0,0,0,0,3.7060629433169696,Пасс (2),590000.0,590000.0,включены,0,9,11,0.0,0.0
1,10.0,"Москва, переулок Токмаков, 10С3",40.0,0,1,1,2.6226525105429954,Пасс (1),55000.0,55000.0,включены,4,2,9,0.0,0.0
1,6.0,"Москва, Старокирочный переулок, 6",27.0,0,1,1,2.8951186577895713,0,60000.0,60000.0,включены,2,2,4,0.0,0.0
2,3.0,"Москва, улица Фридриха Энгельса, 7-21",54.0,0,1,1,3.013291264899304,"Пасс 1, Груз 1",55000.0,55000.0,включены,6,3,12,0.0,0.0
1,5.0,"Москва, Нижняя Красносельская улица, 35С2",30.0,0,0,1,3.7279593807783886,Пасс (1),60000.0,60000.0,включены,2,4,7,0.0,0.0
2,13.0,"Москва, Гороховский переулок, 21",55.0,1,2,1,3.3747264523308855,"Пасс (1), Груз (1)",65000.0,65000.0,включены,2,6,16,0.0,0.0
2,3.0,"Москва, улица Земляной Вал, 38-40/15С9",63.0,0,2,2,3.2,Пасс (1),125000.0,125000.0,включены,4,4,8,0.0,0.0
3,1.0,"Москва, Хоромный тупик, 2/6",60.0,0,2,1,2.6238731856614694,Пасс (1),145000.0,145000.0,включены,4,5,6,0.0,0.0
4,6.0,"Москва, Архангельский переулок, 9",182.5,0,0,0,3.9681205057641575,Пасс (1),250000.0,250000.0,включены,4,6,6,0.0,0.0
0,10.0,"Москва, Большая Почтовая улица, 32к8",26.0,0,0,1,3.2,Пасс (2),50000.0,50000.0,включены,0,4,5,0.0,0.0
1,10.0,"Москва, Балакиревский переулок, 23",20.0,1,0,1,3.0,0,50000.0,50000.0,включены,4,3,4,0.0,0.0
2,4.0,"Москва, Лефортовский переулок, 5/7С4",58.0,0,1,1,2.899537812368898,0,58000.0,58000.0,включены,4,4,4,0.0,0.0
1,7.0,"Москва, переулок Лялин, 22",39.8,0,2,1,3.6714194936470763,Пасс (1),60000.0,60000.0,включены,4,6,6,0.0,0.0
2,10.0,"Москва, улица Госпитальный Вал, 5К18",61.0,0,0,1,3.122063635460619,Пасс (2),60000.0,60000.0,включены,4,9,14,0.0,0.0
1,4.0,"Москва, Плетешковский переулок, 17С1",40.0,1,1,1,2.48,"Пасс (1), Груз (1)",63000.0,63000.0,включены,6,2,16,0.0,0.0
3,3.0,"Москва, Плетешковский переулок, 3АС1",62.0,0,1,0,3.1429358164007315,0,65000.0,65000.0,включены,4,1,5,0.0,0.0
2,12.0,"Москва, Гороховский переулок, 21",55.0,1,1,1,3.1627460569743975,"Пасс (1), Груз (1)",65000.0,65000.0,включены,2,6,16,0.0,0.0
2,10.0,"Москва, улица Госпитальный Вал, 5К17",50.0,0,1,1,3.4731903319739317,0,65000.0,65000.0,включены,4,1,5,0.0,0.0
1,17.0,"Москва, набережная Академика Туполева, 15",54.0,0,1,1,3.1,"Пасс (4), Груз (1)",75000.0,75000.0,включены,4,13,23,0.0,0.0
1,7.0,"Москва, Нижняя Красносельская улица, 35С1",29.0,1,0,1,2.9,Пасс (2),75000.0,75000.0,включены,4,2,7,0.0,0.0
1,9.0,"Москва, Старая Басманная улица, 9к2",50.0,0,2,1,3.436544480705786,Пасс (1),80000.0,80000.0,включены,4,5,9,0.0,0.0
1,7.0,"Москва, Нижняя Красносельская улица, 35С49",30.0,0,0,1,4.0,"Пасс (2), Груз (2)",80000.0,80000.0,включены,0,8,9,0.0,0.0
1,10.0,"Москва, улица Машкова, 13С1",31.5,0,0,1,3.1540709198767742,Пасс (2),110000.0,110000.0,включены,0,2,5,0.0,0.0
2,5.0,"Москва, Нижняя Красносельская улица, 35С50",53.0,0,0,1,3.4987759204222693,Пасс (1),115000.0,115000.0,включены,0,8,10,0.0,0.0
1,5.0,"Москва, Нижняя Красносельская улица, 35С50",52.0,0,0,1,3.54570373836111,Пасс (1),120000.0,120000.0,включены,0,8,10,0.0,0.0
2,6.0,"Москва, улица Земляной Вал, 38-40/15С9",65.0,1,0,2,3.2,Пасс (1),125000.0,125000.0,включены,4,3,8,0.0,0.0
4,8.0,"Москва, Нижняя Красносельская улица, 35С2",80.0,0,0,1,4.6,Пасс (1),135000.0,135000.0,включены,2,3,7,0.0,0.0
2,9.0,"Москва, Нижняя Красносельская улица, 35С7",70.0,3,0,1,2.7549245571713454,"Пасс (1), Груз (1)",140000.0,40000.0,включены,0,3,5,0.0,0.0
3,1.0,"Москва, Хоромный тупик, 2/6",60.0,0,0,1,2.8432647307109216,Пасс (1),145000.0,145000.0,включены,4,5,6,0.0,0.0
4,5.0,"Москва, Мясницкая улица, 24/7С3",175.0,1,0,1,3.4122080968996107,0,250000.0,250000.0,включены,0,2,2,0.0,0.0
5,12.276339583135053,"Москва, Подсосенский переулок, 3к1",236.0,0,0,1,3.7006125172946556,Пасс (1),600000.0,600000.0,nan,1,1,9,0.0,0.0
3,3.0,"Москва, Плетешковский переулок, 8С1",93.0,0,0,1,3.800606454690623,Пасс (1),105000.0,100000.0,включены,4,5,8,0.0,0.0
5,8.0,"Москва, Подсосенский переулок, 3",250.0,0,1,1,3.8115656446076818,"Пасс (1), Груз (1)",750000.0,750000.0,включены,2,3,10,0.0,0.0
1,7.0,"Москва, улица Фридриха Энгельса, 36",32.0,1,1,1,2.65,Пасс (2),35000.0,40000.0,включены,6,2,16,0.0,0.0
1,7.0,"Москва, улица Фридриха Энгельса, 36",32.0,1,2,1,2.6,Пасс (2),42000.0,40000.0,включены,6,2,16,0.0,0.0
3,1.0,"Москва, Бауманская улица, 33/2С8",70.0,1,1,1,3.9010125984904853,Пасс (1),70000.0,70000.0,включены,4,3,6,0.0,0.0
3,2.0,"Москва, Бауманская улица, 33/2С8",70.0,1,1,0,2.7010818380791446,Пасс (1),70000.0,70000.0,включены,4,3,6,0.0,0.0
3,2.0,"Москва, Бауманская улица, 33/2С8",70.0,0,2,1,3.393901858121698,Пасс (1),70000.0,70000.0,включены,4,3,6,0.0,0.0
1,15.0,"Москва, Подсосенский переулок, 19/28",34.0,1,0,2,3.8,Пасс (1),96000.0,96000.0,включены,4,5,5,0.0,0.0
3,12.0,"Москва, улица Госпитальный Вал, 5С4",80.0,1,0,0,3.9832768373075167,Пасс (2),130000.0,130000.0,включены,2,11,17,0.0,0.0
5,5.0,"Москва, улица Жуковского, 2",150.0,1,2,1,3.3,Пасс (1),180000.0,180000.0,включены,5,2,5,0.0,0.0
5,5.0,"Москва, Чистопрудный бульвар, 10С1",254.0,1,0,1,3.3,Пасс (1),300000.0,300000.0,включены,4,6,6,0.0,0.0
1,8.0,"Москва, Нижняя Красносельская улица, 35С2",30.0,0,0,1,3.0221125716107213,Пасс (1),60000.0,60000.0,включены,4,2,6,0.0,0.0
3,5.0,"Москва, Мясницкая улица, 24/7С1",90.0,0,0,1,3.5558851728352026,Пасс (1),145000.0,145000.0,включены,4,4,6,0.0,0.0
5,7.0,"Москва, улица Жуковского, 2",152.0,0,0,0,3.4733841563410564,Пасс (1),179999.0,179999.0,включены,4,2,6,0.0,0.0
2,5.0,"Москва, Доброслободская улица, 4",45.0,0,2,1,3.033557699159042,Пасс (2),43000.0,43000.0,включены,6,6,12,0.0,0.0
2,15.0,"Москва, улица Госпитальный Вал, 5К11",45.0,0,1,1,3.126098381296621,0,45000.0,45000.0,включены,2,3,5,0.0,0.0
2,8.0,"Москва, Фурманный переулок, 12С1",50.0,0,2,1,2.4,"Пасс 1, Груз 1",75000.0,75000.0,включены,6,12,12,0.0,0.0
2,4.0,"Москва, Нижняя Красносельская улица, 45/17",61.0,1,1,1,3.9074326736670497,Пасс (1),75000.0,75000.0,включены,4,9,9,0.0,0.0
1,8.0,"Москва, улица Машкова, 9С1",67.0,1,2,1,3.0,Пасс (1),79000.0,79000.0,включены,4,3,8,0.0,0.0
3,15.0,"Москва, Рубцовская набережная, 2К3",110.0,1,0,1,2.74,Пасс (2),110000.0,110000.0,включены,2,8,17,0.0,0.0
1,15.0,"Москва, набережная Академика Туполева, 15",29.0,0,2,1,2.6,"Пасс (1), Груз (1)",52000.0,52000.0,включены,4,5,23,0.0,0.0
1,10.0,"Москва, Рубцовская набережная, 2К1",42.0,0,2,1,2.8,"Пасс (1), Груз (1)",55000.0,55000.0,включены,2,10,12,0.0,0.0
0,10.0,"Москва, проезд Серебрякова, 11к1",28.0,0,1,1,3.0,"Пасс (2), Груз (2)",45000.0,45000.0,включены,6,5,7,0.0,0.0
1,11.0,"Москва, Сельскохозяйственная улица, 38к1",43.0,0,1,2,2.8,"Пасс (2), Груз (2)",58000.0,30000.0,включены,0,12,25,0.0,0.0
2,11.0,"Москва, Сельскохозяйственная улица, 38к2",66.4,1,0,1,3.6401336247826652,"Пасс 1, Груз 1",80000.0,80000.0,включены,2,7,19,0.0,0.0
2,6.0,"Москва, улица Седова, 7К1",42.0,0,2,1,2.4,Пасс (1),43000.0,43000.0,включены,4,3,8,0.0,0.0
1,3.0,"Москва, Лазоревый проезд, 5к3",44.0,1,1,1,2.813834371050124,"Пасс (1), Груз (1)",58000.0,58000.0,включены,0,4,15,0.0,0.0
2,7.0,"Москва, улица Амундсена, 3К1",64.0,0,2,0,2.8857605548780376,0,60000.0,60000.0,включены,4,2,4,0.0,0.0
2,6.0,"Москва, улица Амундсена, 3К1",64.0,1,1,1,2.847149505193768,0,60000.0,60000.0,включены,4,2,4,0.0,0.0
3,3.0,"Москва, Снежная улица, 17К2",84.0,1,1,1,3.426869090063217,Пасс (2),80000.0,80000.0,включены,2,8,17,0.0,0.0
2,7.0,"Москва, Уржумская улица, 5К2",44.0,1,1,1,2.5,Пасс (2),45000.0,45000.0,включены,6,3,14,0.0,0.0
2,5.0,"Москва, улица Седова, 3",44.0,1,1,1,2.6603897847322786,Пасс (1),48000.0,48000.0,включены,4,3,8,0.0,0.0
2,6.0,"Москва, проезд Серебрякова, 7",57.0,1,2,1,3.5781765919498216,Пасс (1),70000.0,70000.0,включены,4,8,9,0.0,0.0
2,3.0,"Москва, Лазоревый проезд, 5к4",68.0,0,1,1,3.6689288902030714,"Пасс (1), Груз (1)",82000.0,82000.0,включены,1,3,18,0.0,0.0
1,7.0,"Москва, улица Амундсена, 6С2",34.9,0,2,1,2.64,Пасс (2),30000.0,30000.0,включены,6,6,14,0.0,0.0
1,9.0,"Москва, улица Седова, 8К2",32.0,1,2,1,2.64,Пасс (1),32000.0,10000.0,включены,6,1,9,0.0,0.0
1,2.0,"Москва, проезд Берингов, 1",36.0,1,2,2,2.64,"Пасс 1, Груз 1",34000.0,34000.0,включены,2,4,17,0.0,0.0
1,12.276339583135053,"Москва, проезд Берингов, 3",38.0,1,2,1,3.5506585750364428,Пасс (1),35000.0,35000.0,включены,2,2,17,0.0,0.0
1,10.0,"Москва, Лазоревый проезд, 16",36.0,0,2,1,2.64,Пасс (2),35000.0,35000.0,включены,6,9,12,0.0,0.0
2,10.0,"Москва, Уржумская улица, 3К1",48.0,1,2,2,2.64,Пасс (2),35000.0,35000.0,включены,6,7,14,0.0,0.0
1,12.0,"Москва, Вересковая улица, 1К1",38.0,1,2,1,3.073780125496751,Пасс (2),35000.0,10000.0,включены,2,13,17,0.0,0.0
2,12.0,"Москва, Тенистый проезд, 14",44.6,0,2,1,2.64,Пасс (2),35000.0,35000.0,включены,6,11,14,0.0,0.0
1,7.0,"Москва, проезд Русанова, 31",40.0,1,2,1,3.649508698717755,"Пасс (1), Груз (1)",35000.0,35000.0,включены,0,7,24,0.0,0.0
1,3.0,"Москва, проезд Серебрякова, 1/2",35.0,1,2,2,2.64,Пасс (2),36000.0,38000.0,включены,2,2,14,0.0,0.0
1,6.0,"Москва, Снежная улица, 14К1",32.0,0,2,1,2.65,Пасс (1),36000.0,37000.0,включены,4,3,9,0.0,0.0
1,12.0,"Москва, Игарский проезд, 17",39.5,1,1,1,2.6,"Пасс (1), Груз (1)",37000.0,37000.0,включены,2,9,17,0.0,0.0
1,3.0,"Москва, проезд Серебрякова, 7",33.0,0,2,1,3.426046494210731,Пасс (1),38000.0,38000.0,nan,4,9,9,0.0,0.0
1,2.0,"Москва, улица Амундсена, 17К2",38.0,1,1,1,3.3757431801824094,Пасс (1),39000.0,39000.0,nan,2,1,17,0.0,0.0
1,10.0,"Москва, улица Седова, 15К2",35.0,0,2,1,2.6,Пасс (2),39000.0,39000.0,включены,6,2,12,0.0,0.0
2,6.0,"Москва, Снежная улица, 11",44.0,0,2,1,2.64,0,40000.0,40000.0,включены,6,5,5,0.0,0.0
2,9.0,"Москва, Уржумская улица, 1К2",45.0,0,2,1,2.64,Пасс (2),40000.0,40000.0,включены,6,7,14,0.0,0.0
1,1.0,"Москва, улица Амундсена, 16К2",38.0,0,2,1,2.64,Пасс (2),40000.0,40000.0,включены,6,14,14,0.0,0.0
1,8.0,"Москва, проезд Нансена, 3",42.0,1,1,1,3.1932175125087867,Пасс (2),40000.0,40000.0,включены,2,11,17,0.0,0.0
